,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,range,CV,missing_pct,constant
Unive_SCENT_03_RESPONSE,768.0,3.3372395833333335,1.0082158896805085,1.0,3.0,4.0,4.0,4.0,-1.2260602269105754,0.07304830287088038,3.0,0.3021107308913892,91.2747102931152,False
Unive_SCENT_04_CORRECT,768.0,0.5377604166666666,0.4988970206159656,0.0,0.0,1.0,1.0,1.0,-0.15177083152813922,-1.9821342306642808,1.0,0.9277310213875584,91.2747102931152,False
Unive_SCENT_04_RESPONSE,768.0,3.0690104166666665,1.1528223107679079,1.0,2.0,4.0,4.0,4.0,-0.774949881561256,-0.9698979222038391,3.0,0.375633234904435,91.2747102931152,False
Unive_SCENT_05_CORRECT,768.0,0.6640625,0.47262495502196833,0.0,0.0,1.0,1.0,1.0,-0.6960735351401542,-1.519445326532304,1.0,0.7117175793271994,91.2747102931152,False
Unive_SCENT_05_RESPONSE,768.0,2.6848958333333335,0.8588406664268765,1.0,3.0,3.0,3.0,4.0,-0.9309700089556007,0.04280127497355801,3.0,0.31987857993008784,91.2747102931152,False
Unive_SCENT_06_CORRECT,767.0,0.6101694915254238,0.4880299261654258,0.0,0.0,1.0,1.0,1.0,-0.4526669796984045,-1.7997925001500208,1.0,0.7998268234377811,91.28607134742104,False
Unive_SCENT_06_RESPONSE,767.0,2.392438070404172,0.867814502932017,1.0,2.0,2.0,3.0,4.0,0.7359651266199125,-0.3418437539560184,3.0,0.3627322745225379,91.28607134742104,False
Unive_SCENT_07_CORRECT,767.0,0.5475880052151239,0.49805501312219136,0.0,0.0,1.0,1.0,1.0,-0.19159497261780592,-1.968430997950528,1.0,0.9095433215826685,91.28607134742104,False
Unive_SCENT_07_RESPONSE,767.0,2.0521512385919167,1.249498045669128,1.0,1.0,1.0,3.0,4.0,0.5413233794113363,-1.4365600122117477,3.0,0.6088723005261888,91.28607134742104,False
Unive_SCENT_08_CORRECT,766.0,0.664490861618799,0.47247665009363277,0.0,0.0,1.0,1.0,1.0,-0.6981147785225079,-1.5166023929724486,1.0,0.7110355873707714,91.29743240172688,False
