Feature,Overall_Mean,Temporal_Variance,Coefficient_of_Variation,Baseline_vs_V04_Shift
SAA_TTT_24h_Rep3,11.398715277777777,8.98625941362495,0.2629865694913719,0.1516859368749214
SAA_AUC_24h_Rep1,4136265397.3207884,7.55696938564806e+18,0.6646078009451851,-0.018726192761569754
SAA_AUC_24h_Rep2,3807941604.919355,6.714305709702032e+18,0.6804720254018498,-0.09087446315789846
SAA_AUC_24h_Rep3,3911547610.2867384,7.128737664613927e+18,0.6825865018031008,-0.10809954760437221
SAA_TSmax_24h_Rep1,11.734964157706095,18.35226842920745,0.3650590412976816,0.1546446438335264
SAA_TSmax_24h_Rep2,12.03429211469534,19.05454990203642,0.36272609307004816,0.13189524154746424
SAA_TSmax_24h_Rep3,11.975609318996417,18.202833619428777,0.35626395119339865,0.15793270767320192
SAA_SLOPEMax_24h_Rep1,33.68755376344086,457.85146836033556,0.6351741718625941,-0.0614007852459827
SAA_SLOPEMax_24h_Rep2,31.126747311827963,409.69420851366993,0.6502736741985502,-0.1241925847537188
SAA_SLOPEMax_24h_Rep3,31.888306451612902,433.02556762259513,0.652567310840312,-0.14075147099215046
SAA_Fmax_150h_Rep1,62278.25753424658,2378271676.8071203,0.7830586274999677,
SAA_Fmax_150h_Rep2,63998.68219178082,2418712611.580039,0.7684597109574982,
SAA_Fmax_150h_Rep3,63464.22739726027,2513792656.6432037,0.7900157129178634,
SAA_TTT_150h_Rep1,67.6298127340824,250.34045222043872,0.2339523065771935,
SAA_TTT_150h_Rep2,67.40168539325843,245.67002158486102,0.23254410022957786,
SAA_TTT_150h_Rep3,64.56054545454545,270.31992561380224,0.2546665111599392,
SAA_AUC_150h_Rep1,25452119.662921347,29565701620033.344,0.21363388503846528,
SAA_AUC_150h_Rep2,25494026.292134833,30117162691566.273,0.21526260824646282,
SAA_AUC_150h_Rep3,26712441.09090909,32691251068323.617,0.2140435735422518,
SAA_T50_150h_Rep1,73.79475655430711,259.21513104953397,0.21817484195814635,
SAA_T50_150h_Rep2,73.30936090225565,248.48445732586183,0.21502560634862133,
SAA_T50_150h_Rep3,69.55281021897811,273.9212891433384,0.23795685014010395,
SAA_SLOPE_150h_Rep1,33.822470411985016,217.66464905291826,0.4362029767104661,
SAA_SLOPE_150h_Rep2,106.14110374531835,1348996.2790638022,10.942631552194708,
SAA_SLOPE_150h_Rep3,33.88513418181818,236.04134329240395,0.4534034589896226,
SAA_InstrumentRep1,4.149898717083052,4.166704381626731,0.4918796408539773,0.17545935604447854
SAA_InstrumentRep2,4.149898717083052,4.166704381626731,0.4918796408539773,0.17545935604447854
SAA_InstrumentRep3,4.149898717083052,4.166704381626731,0.4918796408539773,0.17545935604447854
SAA_PROJECTID,216.7906819716408,1249.5912914940598,0.16305847767149334,0.1275920883329843
Dopam_OFF_SCHEDULE,0.0,0.0,,
Dopam_DATSCAN,0.85008038585209,0.14277442055602313,0.4444932880857514,-0.08630877319401914
Dopam_DATSCANTRC,1.0082116788321167,0.00814796429987307,0.08953087622089242,0.012211668928086894
Dopam_SCNLOC,1.0058430717863105,0.005811355739036179,0.075789405743089,0.0011764705882353343
Dopam_SCNINJCT,1.0,0.0,0.0,0.0
Dopam_VSRPTELG,,,,
Dopam_DIFFLOC,0.0029542097488921715,0.002947659394681768,18.37796086828664,
Xing_PROTOCOL,1.7326315789473685,0.1959856988442671,0.255508860625098,-0.10247093023255816
Xing_DATSCAN_NOT_ANALYZED_REASON,99.0,0.0,0.0,
Xing_STRIATUM_REF_CWM,0.6944714587737842,0.06678486063393643,0.37212136907701493,-0.08428170762779091
Xing_CAUDATE_REF_CWM,0.7205285412262156,0.08692642594329654,0.409189728261533,0.04151424864585896
Xing_PUTAMEN_REF_CWM,0.6459513742071882,0.09133399657664043,0.46786052565222497,-0.19236679779151014
Xing_PRECAUDATE_REF_CWM,0.8540961945031713,0.11840811977398226,0.4028876507130408,0.023330709199078033
Xing_POSCAUDATE_REF_CWM,0.3135887949260043,0.029128996341857446,0.5442547453091364,0.2060597794076618
Xing_PRECOMMISSURAL_PUTAMEN_REF_CWM,0.9140909090909091,0.1428047257343397,0.41341087801378584,-0.10659705669238727
Xing_POSCOMMISSURAL_PUTAMEN_REF_CWM,0.4322674418604651,0.06724694483046993,0.5999067563813236,-0.305722978825548
Xing_PREDORSALPUTAMEN_REF_CWM,0.929217758985201,0.1809985416622412,0.457846645410187,-0.15671214108770026
Xing_PREVENTRALPUTAMEN_REF_CWM,0.8956289640591967,0.11439574380368564,0.3776389689991945,-0.03384599764703946
Xing_POSDORSALPUTAMEN_REF_CWM,0.4278012684989429,0.07845259295449793,0.6547290082328657,-0.34753552898714196
Xing_POSVENTRALPUTAMEN_REF_CWM,0.4455285412262156,0.04696709225741607,0.4864310689320439,-0.1530916430943091
Xing_STRIATUM_L_REF_CWM,0.6847251585623678,0.07352700004360256,0.39601089846353354,-0.08696813514472794
Xing_CAUDATE_L_REF_CWM,0.7188266384778013,0.09724113968134358,0.4338112967511896,0.05086255001365341
Xing_PUTAMEN_L_REF_CWM,0.6306183932346722,0.09855186487568239,0.4978124911053779,-0.20185986548951348
Xing_PRECAUDATE_L_REF_CWM,0.8530073995771671,0.13319597456182228,0.42785119700110924,0.03353043964135079
